EmployeeID,Department,JobRole,Age,YearsAtCompany,MonthlyIncome,OverTime,JobSatisfaction,PerformanceRating,TrainingHours,AbsenceDays,Attrition
EMP30048,Marketing,Developer,48,11,5491.85,No,1,3,6,2,No
EMP30049,Operations,Manager,59,4,5820.31,No,3,3,32,6,No
EMP30050,Finance,Executive,56,2,6490.61,Yes,5,1,15,1,No
EMP30051,Sales,Analyst,45,3,6361.92,No,5,4,22,10,No
EMP30052,Finance,Specialist,25,9,5452.04,Yes,2,4,15,20,No
EMP30053,Operations,Analyst,58,2,5343.09,No,1,2,42,5,No
EMP30054,Finance,Developer,33,3,5285.72,No,4,2,12,0,No
EMP30055,Sales,Specialist,22,10,4246.17,Yes,5,4,30,0,No
EMP30056,Sales,Developer,50,5,4227.12,No,5,4,22,3,No
EMP30057,HR,Analyst,27,10,6232.6,No,3,1,58,12,No
EMP30058,Operations,Specialist,32,15,4347.36,No,3,2,49,9,No
EMP30059,HR,Executive,47,1,6637.57,Yes,4,3,24,8,No
EMP30060,Operations,Developer,58,10,5339.65,No,4,1,21,15,No
EMP30061,Marketing,Analyst,56,13,6646.06,No,4,4,45,8,No
EMP30062,Marketing,Developer,27,2,6372.1,No,2,1,40,12,No
EMP30063,Finance,Manager,27,12,6681.06,No,5,4,36,20,No
EMP30064,Operations,Manager,52,8,4702.12,No,1,1,9,3,Yes
EMP30065,Sales,Analyst,33,10,6030.02,No,1,4,9,2,No
EMP30066,Sales,Manager,24,0,6523.5,Yes,4,1,40,4,No
EMP30067,Operations,Specialist,43,6,3089.68,Yes,3,3,31,3,No
EMP30068,Operations,Specialist,46,5,7969.21,No,3,2,51,17,No
EMP30069,IT,Manager,59,2,8815.6,No,5,2,6,18,Yes
EMP30070,Finance,Specialist,39,12,6837.6,No,5,1,15,11,No
EMP30071,IT,Specialist,52,8,6625.49,Yes,4,3,49,2,No
EMP30072,Sales,Developer,41,14,6299.8,Yes,1,3,59,17,No
EMP30073,HR,Manager,57,2,4931.52,No,1,2,46,19,No
EMP30074,HR,Executive,40,11,5251.41,No,1,2,5,8,No
EMP30075,Operations,Manager,47,9,6863.27,No,4,3,7,14,No
EMP30076,Marketing,Analyst,58,10,3956.84,No,4,3,54,12,No
EMP30077,Marketing,Executive,55,4,3825.59,Yes,4,3,32,11,Yes
EMP30078,Sales,Specialist,36,11,4820.67,No,1,1,32,7,No
EMP30079,Marketing,Analyst,40,3,6401.05,No,2,3,58,5,No
EMP30080,Finance,Developer,44,12,4117.76,No,2,2,18,5,No
EMP30081,IT,Specialist,25,7,5078.54,Yes,4,2,20,7,No
EMP30082,Finance,Manager,30,7,5256.65,No,1,2,43,15,No
EMP30083,Sales,Developer,48,9,3898.86,No,5,2,55,17,No
EMP30084,HR,Developer,23,1,2333.33,No,1,1,25,2,Yes
EMP30085,Operations,Manager,44,5,3876.9,No,3,2,13,1,No
EMP30086,Marketing,Specialist,39,3,5808.0,Yes,5,3,8,10,No
EMP30087,IT,Specialist,39,15,6145.88,No,1,1,5,16,No
EMP30088,IT,Analyst,53,6,6158.21,No,4,4,25,11,No
EMP30089,Finance,Specialist,31,0,6331.03,No,3,2,34,17,No
EMP30090,Sales,Executive,51,0,4477.07,No,5,3,32,14,No
EMP30091,Marketing,Executive,51,14,4155.75,No,3,1,18,14,No
EMP30092,IT,Manager,59,2,5979.25,No,5,1,42,11,No
EMP30093,IT,Developer,52,0,5099.04,Yes,3,4,54,1,No
EMP30094,IT,Manager,40,3,6777.28,Yes,1,4,18,3,No
EMP30095,HR,Developer,35,3,5988.73,Yes,4,1,42,15,No
EMP30096,Operations,Analyst,51,1,7342.4,No,5,4,35,6,No
EMP30097,Marketing,Specialist,57,15,4718.36,Yes,3,4,43,15,No
EMP30098,Operations,Specialist,31,0,7017.97,No,5,1,5,7,No
EMP30099,Finance,Executive,35,11,8468.68,No,5,1,42,0,No
EMP30100,IT,Manager,40,13,5497.28,No,4,1,46,14,No
EMP30101,Marketing,Analyst,25,10,6165.63,No,4,4,43,18,Yes
EMP30102,Marketing,Developer,33,2,4020.87,Yes,3,4,52,9,No
EMP30103,Finance,Manager,27,11,6757.75,No,5,3,46,2,No
EMP30104,Operations,Analyst,51,5,7110.25,No,2,2,60,8,No
EMP30105,IT,Analyst,40,6,4674.99,No,3,4,42,20,No
EMP30106,HR,Analyst,44,4,6295.91,No,1,4,29,6,No
EMP30107,Operations,Executive,24,12,5837.38,No,1,4,51,1,No
EMP30108,HR,Executive,43,9,6002.84,No,3,2,43,16,No
EMP30109,Operations,Developer,49,2,6634.7,Yes,4,3,36,4,Yes
EMP30110,Marketing,Specialist,47,6,6195.02,No,1,3,37,0,No
EMP30111,Marketing,Manager,52,12,5208.18,No,1,1,24,14,No
EMP30112,IT,Specialist,25,15,6666.61,Yes,1,3,39,7,No
EMP30113,HR,Executive,42,15,7084.45,Yes,3,3,31,2,No
EMP30114,HR,Specialist,39,2,4585.38,No,2,3,12,1,No
EMP30115,Finance,Manager,55,13,5413.97,No,1,2,29,3,Yes
EMP30116,Operations,Developer,47,9,2763.63,Yes,4,3,58,3,Yes
EMP30117,IT,Executive,58,11,6292.06,No,3,4,23,0,No
EMP30118,IT,Developer,21,6,7251.34,No,1,3,42,7,No
EMP30119,IT,Analyst,38,10,5030.72,No,4,4,28,17,No
EMP30120,Operations,Specialist,48,4,5616.82,No,5,4,20,8,Yes
EMP30121,Marketing,Developer,24,8,5086.37,No,3,2,26,0,No
EMP30122,Sales,Specialist,46,3,4840.82,Yes,5,3,58,18,No
EMP30123,Marketing,Specialist,30,6,5764.92,No,3,3,11,13,No
EMP30124,Sales,Developer,23,6,4240.3,Yes,1,4,42,20,No
EMP30125,Finance,Analyst,46,13,5063.75,No,1,2,51,12,No
EMP30126,Sales,Analyst,37,10,4059.84,No,1,1,15,10,No
EMP30127,Marketing,Specialist,36,10,6300.28,No,2,3,47,10,No
EMP30128,Operations,Developer,33,4,5775.52,No,2,3,40,0,No
EMP30129,HR,Specialist,47,6,4769.81,No,3,3,23,7,No
EMP30130,Operations,Developer,45,7,5472.28,No,3,3,14,9,No
EMP30131,Marketing,Developer,47,12,5085.58,Yes,5,3,57,6,No
EMP30132,IT,Executive,51,2,7132.51,No,1,1,16,17,No
EMP30133,Finance,Specialist,44,0,4755.15,No,5,4,58,20,No
EMP30134,IT,Analyst,23,8,6369.23,No,2,2,41,10,No
EMP30135,Operations,Analyst,27,13,4358.86,No,5,1,52,16,No
EMP30136,Finance,Executive,59,11,6638.02,No,1,4,21,4,No
EMP30137,Operations,Executive,32,12,6972.63,No,1,4,6,19,No
EMP30138,Finance,Analyst,37,6,7043.43,No,1,3,41,14,No
EMP30139,Finance,Specialist,35,3,7623.19,Yes,2,3,25,15,No
EMP30140,Sales,Specialist,59,10,5855.33,No,5,1,35,12,No
EMP30141,Marketing,Manager,53,0,7273.59,No,3,2,30,17,No
EMP30142,IT,Analyst,39,14,7852.94,No,1,1,23,11,No
EMP30143,HR,Analyst,47,11,3733.59,No,4,2,45,20,No
EMP30144,Finance,Specialist,42,8,4511.81,No,3,2,33,13,No
EMP30145,Marketing,Executive,46,3,3173.12,No,4,1,40,9,No
EMP30146,Finance,Executive,58,4,7008.38,No,4,3,42,4,No
EMP30147,IT,Executive,47,15,3153.87,No,4,3,42,19,No
EMP30148,IT,Specialist,25,0,2746.9,No,1,2,23,1,No
EMP30149,IT,Executive,40,0,3770.58,No,3,4,47,0,No
EMP30150,Finance,Specialist,52,5,2809.2,No,4,2,17,0,No
EMP30151,Operations,Executive,22,3,5824.9,Yes,3,1,58,2,No
EMP30152,Operations,Manager,34,10,3789.85,No,5,4,50,5,No
EMP30153,Operations,Specialist,28,0,2881.24,Yes,5,1,35,10,No
EMP30154,Operations,Executive,49,12,5353.86,No,5,1,15,5,No
EMP30155,Marketing,Analyst,26,12,5442.33,Yes,2,2,55,9,No
EMP30156,Marketing,Developer,45,3,2611.99,No,3,3,36,9,No
EMP30157,IT,Specialist,23,9,4346.11,No,5,2,50,9,No
EMP30158,IT,Specialist,57,10,5304.71,No,2,4,6,1,Yes
EMP30159,Sales,Executive,33,13,4881.43,No,4,2,23,11,No
EMP30160,IT,Developer,36,11,4922.44,Yes,2,4,21,6,No
EMP30161,Finance,Analyst,51,15,7185.6,Yes,1,3,50,11,No
EMP30162,Finance,Manager,35,1,8636.48,Yes,2,1,31,1,No
EMP30163,Marketing,Specialist,25,9,4946.72,No,5,2,11,18,No
EMP30164,Finance,Specialist,56,12,3433.84,No,5,1,39,15,No
EMP30165,Marketing,Executive,25,3,5064.79,No,5,4,13,7,No
EMP30166,Finance,Manager,40,3,5708.11,No,2,3,30,7,No
EMP30167,Marketing,Analyst,25,1,5336.75,Yes,4,2,60,6,No
EMP30168,Operations,Developer,48,15,6332.7,No,2,3,29,20,No
EMP30169,HR,Specialist,31,13,8734.53,No,1,3,29,14,No
EMP30170,Marketing,Analyst,57,1,2846.99,No,2,3,7,9,No
EMP30171,Marketing,Executive,28,3,4656.05,Yes,1,2,30,13,No
EMP30172,IT,Executive,47,7,7728.38,No,4,2,58,1,No
EMP30173,IT,Executive,21,14,4633.6,No,4,2,58,17,No
EMP30174,Sales,Analyst,25,13,6600.91,Yes,1,4,58,12,No
EMP30175,Marketing,Specialist,31,14,6363.02,No,1,2,25,6,Yes
EMP30176,HR,Analyst,55,13,7271.99,No,3,2,8,14,No
EMP30177,Finance,Manager,59,10,8286.68,No,1,3,18,0,No
EMP30178,IT,Developer,44,4,5916.28,No,5,3,16,10,No
EMP30179,HR,Developer,34,9,2797.92,No,3,4,9,19,No
EMP30180,HR,Analyst,33,7,4366.06,No,3,1,44,15,No
EMP30181,Finance,Executive,29,15,8695.75,No,1,1,34,0,No
EMP30182,IT,Executive,34,7,3295.37,No,4,2,45,12,No
EMP30183,Operations,Analyst,40,12,6161.88,No,4,3,16,14,No
EMP30184,HR,Executive,47,2,2333.33,No,4,4,43,11,No
EMP30185,IT,Manager,29,10,3389.83,No,3,3,8,6,No
EMP30186,Sales,Developer,22,7,6747.07,No,2,4,45,14,No
EMP30187,Sales,Developer,42,6,5470.61,No,1,1,50,8,No
EMP30188,IT,Specialist,30,12,4852.0,Yes,2,3,19,19,Yes
EMP30189,Operations,Analyst,36,7,4195.13,No,3,4,23,17,No
EMP30190,Marketing,Developer,48,0,2421.85,No,1,3,29,19,No
EMP30191,Marketing,Specialist,55,6,6456.78,Yes,1,2,37,8,No
EMP30192,IT,Executive,41,15,4991.95,No,2,4,34,14,No
EMP30193,Finance,Developer,57,15,3133.87,No,1,4,10,3,No
EMP30194,IT,Executive,31,9,5461.95,No,1,2,26,15,No
EMP30195,Sales,Manager,48,10,6288.54,No,3,3,33,15,No
EMP30196,Finance,Specialist,59,4,5115.66,No,4,4,39,16,No
EMP30197,Finance,Manager,29,12,5590.66,No,3,1,40,0,No
EMP30198,Operations,Manager,49,9,5473.86,Yes,1,1,42,9,No
EMP30199,Sales,Developer,39,0,4356.47,No,2,3,30,5,Yes
EMP30200,Operations,Manager,55,15,5498.06,No,1,4,33,19,No
EMP30201,IT,Developer,32,13,6519.49,No,4,1,23,11,No
EMP30202,IT,Specialist,58,1,6968.63,No,2,3,20,12,No
EMP30203,Sales,Executive,52,6,6602.76,No,2,3,22,9,No
EMP30204,IT,Manager,48,11,4404.02,No,5,4,29,2,No
EMP30205,HR,Specialist,22,11,6370.99,Yes,3,4,11,13,No
EMP30206,IT,Analyst,24,2,6114.87,Yes,4,1,17,12,No
EMP30207,IT,Manager,46,0,4352.1,No,2,3,11,8,No
EMP30208,Finance,Developer,39,15,4720.2,No,5,3,27,13,No
EMP30209,Sales,Specialist,33,14,6436.21,Yes,4,2,32,8,No
EMP30210,Marketing,Analyst,53,11,7482.03,Yes,3,1,14,13,No
EMP30211,IT,Specialist,39,10,2699.16,No,3,2,12,7,No
EMP30212,Operations,Developer,38,10,7876.76,No,4,3,34,16,No
EMP30213,Finance,Executive,33,7,7162.91,Yes,1,3,17,18,No
EMP30214,Operations,Specialist,59,10,5715.34,Yes,2,3,53,10,No
EMP30215,IT,Analyst,35,4,5055.59,No,4,3,14,0,Yes
EMP30216,IT,Analyst,31,1,6002.32,No,3,4,31,14,No
EMP30217,Sales,Manager,47,4,4455.82,No,4,3,49,19,Yes
EMP30218,IT,Manager,22,4,5150.12,No,3,1,10,14,No
EMP30219,Finance,Manager,44,4,3204.13,Yes,1,2,30,7,No
EMP30220,Finance,Executive,43,7,2804.38,No,4,1,31,11,Yes
EMP30221,Operations,Specialist,30,2,8915.13,No,4,4,35,7,No
EMP30222,Marketing,Analyst,50,6,5511.28,No,2,4,54,16,No
EMP30223,Operations,Executive,22,7,5722.2,No,4,4,37,15,No
EMP30224,HR,Manager,59,3,5370.57,No,2,1,26,13,No
EMP30225,HR,Developer,54,7,4175.01,No,1,3,27,8,Yes
EMP30226,Marketing,Executive,27,10,4956.07,No,1,1,39,3,No
EMP30227,Operations,Specialist,40,6,5553.45,Yes,5,2,21,12,No
EMP30228,HR,Developer,28,0,5121.71,Yes,2,2,43,7,No
EMP30229,Operations,Specialist,45,11,4288.36,No,3,2,26,18,No
EMP30230,Sales,Developer,34,9,6135.9,No,2,2,8,1,No
EMP30231,Operations,Executive,40,6,5699.21,No,4,2,34,17,No
EMP30232,Marketing,Analyst,58,0,6006.03,Yes,4,1,19,16,No
EMP30233,Finance,Specialist,45,1,6474.23,Yes,5,4,25,10,No
EMP30234,Finance,Manager,54,1,5160.88,No,5,2,23,20,No
EMP30235,Sales,Executive,45,13,5163.33,No,5,4,12,15,No
EMP30236,Finance,Executive,39,4,7640.35,No,2,1,21,0,No
EMP30237,IT,Manager,21,6,4000.64,No,3,4,56,8,No
EMP30238,Marketing,Manager,24,11,2606.22,No,2,3,22,17,No
EMP30239,IT,Analyst,41,10,6249.97,No,4,1,46,16,No
EMP30240,IT,Executive,40,1,4472.64,No,4,4,27,3,No
EMP30241,HR,Developer,40,14,3800.64,Yes,2,3,8,3,No
EMP30242,Operations,Manager,53,4,6744.52,No,5,3,51,19,No
EMP30243,Marketing,Executive,24,12,5199.51,No,2,4,55,0,No
EMP30244,HR,Executive,46,13,3521.32,No,5,4,18,19,No
EMP30245,IT,Analyst,50,8,8319.09,No,5,1,14,11,No
EMP30246,Operations,Manager,46,2,3000.64,Yes,1,2,57,16,No
EMP30247,Finance,Analyst,30,8,5286.65,No,2,1,10,4,No
EMP30248,HR,Executive,36,3,2582.75,No,2,1,54,7,No
EMP30249,Marketing,Specialist,23,13,5822.65,Yes,5,1,14,15,Yes
EMP30250,HR,Developer,27,12,4455.0,No,4,3,53,3,No
EMP30251,Finance,Manager,52,13,6645.58,Yes,1,3,57,2,Yes
EMP30252,Marketing,Analyst,45,13,5390.59,No,5,1,18,12,No
EMP30253,IT,Developer,54,2,7442.58,No,2,2,17,0,No
EMP30254,Marketing,Specialist,47,0,4772.1,Yes,2,1,10,19,No
EMP30255,Marketing,Developer,30,10,3009.85,No,1,1,49,14,No
EMP30256,HR,Analyst,52,9,5772.94,No,1,1,24,14,Yes
EMP30257,HR,Analyst,47,13,5037.83,No,3,3,41,10,No
EMP30258,Sales,Specialist,28,10,2687.78,No,1,1,39,13,No
EMP30259,Sales,Executive,21,12,3833.6,Yes,1,4,34,19,Yes
EMP30260,Marketing,Analyst,50,5,4310.97,No,4,4,18,0,No
EMP30261,HR,Executive,49,1,7749.74,No,2,4,25,5,No
EMP30262,Operations,Developer,24,0,6477.84,Yes,4,4,33,14,No
EMP30263,IT,Manager,39,6,4895.06,No,5,4,10,2,No
EMP30264,IT,Executive,56,0,6122.97,Yes,1,4,27,5,Yes
EMP30265,Operations,Specialist,51,8,2357.48,Yes,4,4,44,0,No
EMP30266,Finance,Manager,52,6,4569.31,No,1,1,28,1,No
EMP30267,IT,Analyst,36,4,6018.16,No,4,3,27,9,No
EMP30268,Sales,Specialist,25,9,5664.73,No,2,2,52,13,No
EMP30269,Operations,Developer,34,10,4607.63,No,1,4,34,2,No
EMP30270,Sales,Executive,47,0,5359.2,Yes,2,1,46,20,No
EMP30271,Sales,Specialist,53,7,5923.83,No,2,2,7,16,No
EMP30272,IT,Executive,46,15,5402.63,Yes,4,2,56,13,No
EMP30273,Marketing,Specialist,22,4,6708.17,Yes,4,4,48,1,No
EMP30274,Finance,Analyst,44,12,5894.72,Yes,4,2,51,10,No
EMP30275,Sales,Analyst,28,5,6183.53,Yes,1,4,43,19,No
EMP30276,Marketing,Executive,44,4,7987.0,No,5,2,35,4,No
EMP30277,Marketing,Specialist,37,13,6657.93,No,3,3,34,11,No
EMP30278,Operations,Manager,41,5,8028.1,No,1,3,39,11,No
EMP30279,Sales,Developer,44,13,4408.8,No,5,2,32,14,No
EMP30280,Sales,Specialist,45,10,3028.05,Yes,4,2,45,19,No
EMP30281,Marketing,Manager,21,12,5206.25,No,1,2,23,2,No
EMP30282,Operations,Analyst,58,13,5078.27,No,3,3,48,1,No
EMP30283,Operations,Developer,43,14,7605.79,No,5,2,24,1,No
EMP30284,HR,Manager,40,8,3721.6,No,4,4,31,5,No
EMP30285,Finance,Analyst,35,15,5298.35,Yes,1,1,8,7,No
EMP30286,IT,Specialist,25,0,6024.44,No,4,1,55,18,No
EMP30287,Sales,Specialist,45,7,5566.82,No,1,1,43,10,No
EMP30288,IT,Analyst,35,6,5159.37,Yes,2,4,18,15,No
EMP30289,Finance,Developer,56,1,5954.52,No,1,2,7,12,No
EMP30290,HR,Specialist,46,13,7035.31,No,4,1,52,20,No
EMP30291,Finance,Developer,38,12,7720.28,No,5,1,5,6,No
EMP30292,HR,Executive,22,11,5465.88,No,1,4,31,14,No
EMP30293,Finance,Specialist,42,10,4192.9,No,4,4,6,5,No
EMP30294,Marketing,Executive,53,9,7718.47,No,2,2,43,4,No
EMP30295,Finance,Developer,39,6,3800.22,No,4,3,16,20,No
EMP30296,Marketing,Manager,46,10,8102.53,No,1,2,28,0,No
EMP30297,Marketing,Executive,25,15,7432.87,Yes,2,4,36,5,No
EMP30298,Finance,Developer,36,4,7650.76,No,2,3,25,8,No
EMP30299,Marketing,Analyst,51,5,6444.75,No,5,2,43,2,No
EMP30300,IT,Specialist,37,1,2333.33,No,1,4,33,16,Yes
EMP30301,Finance,Specialist,55,14,3857.99,No,3,1,28,7,No
EMP30302,Sales,Manager,36,8,5877.0,No,1,4,23,9,No
EMP30303,Sales,Developer,52,9,4403.2,No,3,2,27,6,No
EMP30304,Sales,Executive,46,4,4943.75,Yes,4,4,22,18,Yes
EMP30305,Sales,Specialist,57,0,6335.88,Yes,4,4,37,8,No
EMP30306,HR,Developer,41,12,5161.71,No,1,3,47,16,No
EMP30307,Operations,Analyst,39,13,3588.14,No,4,1,38,13,No
EMP30308,Marketing,Executive,34,5,6745.15,No,2,4,6,20,No
EMP30309,Marketing,Manager,46,12,6189.02,No,4,3,52,12,No
EMP30310,IT,Specialist,59,9,5043.17,No,5,4,49,20,No
EMP30311,HR,Specialist,27,10,6483.57,No,1,1,50,14,No
EMP30312,HR,Executive,57,2,5559.24,No,2,1,7,1,No
EMP30313,Sales,Developer,59,9,7413.71,No,5,2,51,3,No
EMP30314,Sales,Executive,50,2,5643.48,Yes,1,2,31,16,No
EMP30315,HR,Analyst,43,3,7402.56,Yes,2,1,52,0,No
EMP30316,Marketing,Manager,54,5,2606.19,No,3,1,48,3,No
EMP30317,HR,Executive,31,3,6105.5,No,5,2,54,16,No
EMP30318,HR,Executive,45,14,4819.87,No,2,4,11,7,No
EMP30319,Marketing,Specialist,52,0,4128.09,No,2,1,36,4,No
EMP30320,HR,Developer,52,14,7154.42,No,4,1,45,4,No
EMP30321,Operations,Developer,43,2,6750.3,Yes,1,4,38,6,No
EMP30322,Marketing,Manager,36,13,2406.95,No,2,1,50,17,No
EMP30323,Sales,Manager,58,5,6489.91,Yes,2,1,45,9,No
EMP30324,Finance,Executive,47,14,6307.89,No,3,4,7,20,No
EMP30325,HR,Manager,51,8,4332.06,Yes,3,2,16,15,No
EMP30326,Sales,Developer,45,7,4163.71,No,2,2,40,5,No
EMP30327,Sales,Analyst,55,2,3030.8,No,2,1,25,3,No
EMP30328,Finance,Manager,39,6,4910.37,No,5,2,24,19,No
EMP30329,Finance,Manager,42,8,5150.44,No,5,4,56,18,No
EMP30330,Finance,Specialist,52,15,6612.16,No,5,4,10,2,No
EMP30331,Operations,Executive,41,4,5820.74,No,4,3,34,6,No
EMP30332,Operations,Executive,30,1,3826.8,No,3,3,22,15,No
EMP30333,Sales,Analyst,50,4,5774.98,Yes,2,3,7,20,No
EMP30334,Sales,Executive,35,3,5035.6,Yes,1,3,25,18,No
EMP30335,HR,Specialist,25,15,4014.43,Yes,3,3,27,5,No
EMP30336,Finance,Analyst,35,2,3032.41,Yes,3,1,30,18,No
EMP30337,Marketing,Analyst,23,15,6353.87,No,4,4,14,15,No
EMP30338,Marketing,Analyst,55,1,6086.26,No,1,4,45,9,No
EMP30339,Operations,Specialist,59,12,6251.82,No,5,1,24,7,No
EMP30340,IT,Developer,31,6,4324.3,No,1,1,37,17,No
EMP30341,Finance,Manager,56,0,5673.29,No,2,4,35,17,No
EMP30342,Sales,Developer,48,9,3353.62,Yes,2,1,36,19,No
EMP30343,HR,Executive,58,11,3936.79,No,5,4,33,9,No
EMP30344,Sales,Developer,27,13,5467.26,No,4,4,21,5,No
EMP30345,Marketing,Analyst,23,2,5810.2,No,1,1,32,18,No
EMP30346,HR,Analyst,56,9,2973.44,Yes,5,4,34,6,Yes
EMP30347,Operations,Executive,31,9,3830.35,No,4,1,6,15,No
EMP30348,Sales,Executive,44,7,4868.58,No,1,2,45,10,No
EMP30349,Marketing,Developer,56,14,6854.44,No,4,3,29,12,No
EMP30350,Finance,Specialist,34,6,4197.01,Yes,1,3,21,4,No
EMP30351,Sales,Specialist,24,6,5627.53,Yes,3,1,6,5,No
EMP30352,HR,Analyst,51,8,5784.76,No,1,1,22,13,No
EMP30353,IT,Developer,38,14,5042.13,No,1,2,27,5,No
EMP30354,Sales,Executive,21,13,5818.7,Yes,3,3,51,14,No
EMP30355,Sales,Developer,34,11,3399.29,No,4,2,41,20,No
EMP30356,Operations,Manager,41,1,4432.99,No,3,2,28,1,No
EMP30357,Marketing,Specialist,55,4,7568.21,No,2,1,12,19,Yes
EMP30358,Finance,Executive,29,0,7673.81,No,3,4,20,3,No
EMP30359,Operations,Developer,41,1,6681.05,No,1,3,56,2,No
EMP30360,Sales,Manager,28,13,7067.25,No,1,4,12,17,No
EMP30361,IT,Manager,32,13,2677.8,No,1,2,40,4,No
EMP30362,Sales,Manager,31,1,3993.62,Yes,1,4,33,13,No
EMP30363,Marketing,Developer,41,7,4950.01,No,4,3,17,2,No
EMP30364,Operations,Manager,46,4,9040.13,Yes,4,3,53,1,No
EMP30365,Marketing,Manager,25,1,4947.04,No,1,2,27,4,No
EMP30366,Marketing,Manager,23,6,6534.02,No,3,3,42,10,No
EMP30367,IT,Executive,49,1,5984.22,No,3,2,10,6,No
EMP30368,Finance,Developer,32,11,5950.85,No,1,3,59,4,No
EMP30369,Finance,Developer,45,15,5381.37,No,5,2,6,17,No
EMP30370,Operations,Manager,23,6,3616.62,Yes,5,4,22,3,No
EMP30371,Operations,Developer,44,3,2333.33,Yes,4,4,56,1,Yes
EMP30372,HR,Analyst,56,7,7339.43,No,5,2,40,2,No
EMP30373,Sales,Analyst,38,15,4491.92,No,3,2,42,18,No
EMP30374,Marketing,Specialist,43,2,2616.0,No,5,4,22,9,No
EMP30375,Operations,Specialist,32,10,6073.61,No,3,3,48,20,No
EMP30376,Marketing,Specialist,32,1,6044.85,No,1,1,57,16,No
EMP30377,IT,Executive,23,4,6568.51,No,1,4,39,5,No
EMP30378,Sales,Manager,39,7,7090.24,No,5,3,17,16,No
EMP30379,Marketing,Developer,57,6,4038.19,No,3,3,55,9,No
EMP30380,Operations,Executive,25,2,4104.19,No,4,4,5,11,No
EMP30381,Marketing,Specialist,37,12,4938.61,No,1,1,55,11,No
EMP30382,HR,Developer,53,10,6649.13,No,3,4,5,15,No
EMP30383,Marketing,Analyst,40,6,2333.33,No,1,1,8,4,Yes
EMP30384,IT,Manager,50,6,5608.98,Yes,2,4,7,1,No
